Country Name,Country Code,Region,IncomeGroup,PPP Ratio (2024),Std Family Urban (Annual),Std Family Rural (Annual),Typical Fam Urban (Annual),Typical Fam Rural (Annual),Single Indiv Urban (Annual),Single Indiv Rural (Annual),Single Parent Urban (Annual),Single Parent Rural (Annual),Source,Median(LW),U/R Gap%(std fam),U/R Gap%(single parent),U/R Gap%(single individual),U/R Gap%(Typical Fam),(Sing parent burden% vs std fam(U))
France,FRA,Europe & Central Asia,High income,0.737,21987,12968,20565,11994,16587,8857,34102,18876,Numbeo,17732.0,69.55,80.66,87.28,71.46,55.1
French Polynesia,PYF,East Asia & Pacific,High income,0.0,22128,12429,19753,10854,17500,8975,35020,18450,Income Avg,17975.0,78.04,89.81,94.99,81.99,58.26
Gabon,GAB,Sub-Saharan Africa,Upper middle income,0.383,11480,6434,10902,6083,8240,4208,17872,9304,PPP Model,8772.0,78.43,92.09,95.82,79.22,55.68
"Gambia, The",GMB,Sub-Saharan Africa,Low income,0.251,7467,4154,7361,4128,5042,2563,11529,5915,PPP Model,5478.0,79.75,94.91,96.72,78.32,54.4
Georgia,GEO,Europe & Central Asia,Upper middle income,0.327,11757,6369,11729,6301,8742,4281,18550,9300,Numbeo,9021.0,84.6,99.46,104.2,86.15,57.78
Germany,DEU,Europe & Central Asia,High income,0.759,27053,15534,23584,13250,20205,10574,42424,22847,Numbeo,21526.0,74.15,85.69,91.08,77.99,56.82
Ghana,GHA,Sub-Saharan Africa,Lower middle income,0.298,8906,4969,8646,4839,6165,3140,13797,7121,PPP Model,6643.0,79.23,93.75,96.34,78.67,54.92
Gibraltar,GIB,Europe & Central Asia,High income,0.0,22128,12429,19753,10854,17500,8975,35020,18450,Income Avg,17975.0,78.04,89.81,94.99,81.99,58.26
Greece,GRC,Europe & Central Asia,High income,0.558,14891,9208,13610,8238,11093,6131,22802,13283,Numbeo,12188.0,61.72,71.66,80.93,65.21,53.13
Greenland,GRL,Europe & Central Asia,High income,0.0,22128,12429,19753,10854,17500,8975,35020,18450,Income Avg,17975.0,78.04,89.81,94.99,81.99,58.26
